URL,Performance,Accessibility,BestPractices,SEO,Screenshot,date
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/,29,79,68,70,screenshots/0971a844-d0d8-4812-8403-08dbc35d5ffa.png,Mon Aug 14 14:54:45 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/plena-inclusion-tenerife/,24,75,68,70,screenshots/5c5dbf60-32bb-452c-9fc6-76dec597ceb0.png,Mon Aug 14 14:55:28 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/padel-silla-menorca/,33,73,68,70,screenshots/30d3d2e9-0b69-4db0-a046-86f08dc27fae.png,Mon Aug 14 14:55:51 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/fundacion-nemo-menorca/,33,74,68,70,screenshots/b03f12ec-3d9e-4f9f-afd0-a36be4109b33.png,Mon Aug 14 14:56:19 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/padel-silla-ibiza/,29,74,68,70,screenshots/e45d2455-4c2f-43ca-9ab2-d3d956b4669d.png,Mon Aug 14 14:56:54 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/caritas-ibiza/,31,74,68,70,screenshots/cc9d4eda-b2b0-4780-9280-3c09621da507.png,Mon Aug 14 14:57:22 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/sonrisa-medica-ibiza/,32,74,68,70,screenshots/65b011bf-6ef5-4679-8416-5ca8a25b9522.png,Mon Aug 14 14:57:50 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/ibiza-in-ibiza/,33,74,68,70,screenshots/950cc812-d794-4dc4-8258-1956853e6fc0.png,Mon Aug 14 14:58:21 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/un-mar-de-posibilidades-ibiza/,31,74,68,70,screenshots/4d9d2441-a5d1-47e4-9ffe-3602b138362e.png,Mon Aug 14 14:58:50 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/fundacion-balia-madrid/,33,74,68,70,screenshots/4729c77c-6500-43ab-883d-b679256380fa.png,Mon Aug 14 14:59:19 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/juegaterapia-madrid/,31,74,68,70,screenshots/89d6acc4-ba67-481a-9b2c-81aee53bf62d.png,Mon Aug 14 14:59:50 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/asociacion-nuevo-futuro-malaga/,30,74,68,70,screenshots/053adc2b-4467-4fc3-8b90-29d890096168.png,Mon Aug 14 15:00:22 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/asociacion-aspanri-sevilla/,31,74,68,70,screenshots/fe0593cb-305e-4789-9b90-c96eff8308f6.png,Mon Aug 14 15:00:50 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/fundacion-el-gancho-infantil-sevilla/,30,74,68,70,screenshots/27f3c065-19c8-4eea-985a-49ee8f55f4d7.png,Mon Aug 14 15:01:22 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/plena-inclusion-valencia/,32,74,68,70,screenshots/4c0d4aea-9923-4d89-8150-445d754e9f2f.png,Mon Aug 14 15:01:51 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/adimi-malaga/,30,74,68,70,screenshots/5f3f9991-c1f7-4069-98bb-050fdb9c2a5a.png,Mon Aug 14 15:02:28 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/fundacion-railes-madrid/,32,74,68,70,screenshots/0aa05784-f956-4b6e-bec5-e7ffc7c2a844.png,Mon Aug 14 15:03:00 CEST 2023
https://www.palladiumhotelgroup.com/es/cares/4-causas/infancia/fundacion-railes-madrid1/,28,72,68,70,screenshots/c9c71798-7afc-4013-be67-044b4cf74874.png,Mon Aug 14 15:03:34 CEST 2023
